Protein	H5LungInf3d-H5LungPBS4d_log2FC	H5LungInf3d-H5LungPBS4d_adj.pvalue	H5LungInf4d-H5LungPBS4d_log2FC	H5LungInf4d-H5LungPBS4d_adj.pvalue
157.0/5.5	2.60596662903513	0.936443894326451	0.592936663491129	0.857709577829695
157.1/5.8	0.539096366290081	0.99997651208131	-0.372652313838634	0.614866626519875
157.1/9.3	-0.393049497656708	0.99997651208131	-0.557773514775458	0.565698091901563
157.6/20.8	-0.163960442981899	0.99997651208131	-0.317946840146738	0.737240718004815
158.0/9.4	0.781992314523767	0.99997651208131	-0.56202778941032	0.678090687530758
158.1/21.0	-0.271798335967828	0.99997651208131	-0.321049135376153	0.743466738736936
158.1/9.4	0.108434224205064	0.99997651208131	-0.684124992201738	0.394086219015655
158.2/2.6	-0.0224478788922364	0.99997651208131	-0.0121655247552483	0.991353590060518
158.9/4.9	-Inf	0	-Inf	0
158.9/7.8	Inf	0		
158.9/8.8			Inf	0
159.0/0.1	-0.0278279015183248	0.99997651208131	-0.264089568771936	0.621719506911819
159.0/10.2	0.340156536851905	0.99997651208131	-0.0607335084640065	0.932639671074179
159.0/21.0	-0.23209058330134	0.99997651208131	-0.366827772845515	0.692886215322521
159.0/5.5	-0.171824815963958	0.99997651208131	-0.602837357155884	0.610008371062787
159.0/7.1	-0.600175261086307	0.99997651208131	-0.664632982989474	0.471845335031828
159.0/8.6	0.0192228257646301	0.99997651208131	0.140083836892734	0.903656012386924
159.0/9.5	-0.104520372202203	0.99997651208131	-0.944397828928663	0.395844953796423
159.1/8.5	0.339038033317307	0.99997651208131	-0.105574967866933	0.937949477192831
160.0/3.1	-0.758958502995204	0.99997651208131	-0.928339307269741	0.544997767974117
160.1/10.7	-0.0962710671193502	0.99997651208131	0.837626687284361	0.337809104388139
160.1/11.2	-0.297828504080888	0.99997651208131	0.0491116620199605	0.971384381998896
160.1/4.7	-1.20970182683449	0.549354252894769	-1.1692606996039	0.205029240454801
161.1/20.9	-0.233366702480174	0.99997651208131	-0.107777358643383	0.895414074821905
161.1/3.9	-0.286440271586202	0.99997651208131	-0.306709841802523	0.75500992204868
161.1/5.3	0.12821981329026	0.99997651208131	-0.106120691989396	0.842410406339003
161.6/10.3	-0.284930841539006	0.99997651208131	0.421134907981163	0.58917539731047
162.0/9.7	-0.573288327087529	0.99997651208131	0.48647734729137	0.809627548371277
162.1/10.1	-0.145011102428138	0.99997651208131	0.698248445429273	0.194881961939111
163.9/9.8	-0.227240067326187	0.99997651208131	0.825835423173492	0.451013922649295
164.1/10.1	0.000467791485485591	0.99997651208131	0.447352255603746	0.394626526865886
164.1/5.0	-0.328939921432407	0.99997651208131	-0.562821557184156	0.658228559545972
166.1/20.4	-0.0619932460781381	0.99997651208131	-0.458577083197888	0.638206233596755
166.1/21.0	-0.19516214141791	0.99997651208131	-0.356284196246186	0.681013706077168
166.1/9.2	-0.391094359512405	0.99997651208131	-0.0884029905034914	0.913419458062158
166.9/9.5	-0.559442892208928	0.99997651208131	-Inf	0
167.0/9.6	-0.0159781971530429	0.99997651208131	0.876751351904481	0.509823386421952
167.1/0.4	0.0228630140823082	0.99997651208131	-0.125505518139251	0.828459557258881
167.1/9.4	-0.0265843782433182	0.99997651208131	-0.810226430220034	0.513683780528357
168.1/20.8	-0.244163555565984	0.99997651208131	-0.270777017285838	0.753735495935909
169.0/10.1	0.629170290314021	0.99997651208131	0.50360501535835	0.665029819329355
169.1/1.0	0.180904031182768	0.99997651208131	-0.177117927207822	0.75500992204868
169.1/4.8	0.104605588773716	0.99997651208131	-0.571116958864268	0.182720969542526
169.1/5.6	-0.121164403966347	0.99997651208131	-0.391723887536051	0.585088009800391
169.1/7.1	-0.181258946258396	0.99997651208131	-0.433771898373656	0.709670142556176
169.1/9.0	-0.0913847269692094	0.99997651208131	-1.52608947701783	0.326208612569823
169.1/9.5	0.0931276455088911	0.99997651208131	-0.958618591905734	0.274288325351957
170.0/10.0	0.319658153938926	0.99997651208131	0.522285255110409	0.741435167004482
170.0/9.8	0.187633259184726	0.99997651208131	-0.119623795693802	0.944158905202875
171.1/4.0	-0.0619822628717474	0.99997651208131	-0.0268989472299789	0.982783741139842
171.1/5.1	-0.298176431470638	0.99997651208131	-0.458502459840849	0.623817310415443
171.1/6.6	-0.2906789820166	0.99997651208131	-0.290405250748435	0.78754218563312
171.1/9.4	0.0405269472233899	0.99997651208131	-0.67608923662496	0.474627805153393
172.1/3.9	-0.158280073741116	0.99997651208131	0.553454846373865	0.67731060011514
172.1/4.4	-0.139429501354637	0.99997651208131	0.347068685080174	0.790970405239042
172.9/4.9	0.846634843554607	0.99997651208131	-0.784679885968385	0.89009313879402
172.9/8.8	-0.215635233206603	0.99997651208131	-0.631223291661968	0.836378511917112
173.0/5.4	0.365168479758466	0.99997651208131	0.0273148123548259	0.971393936828517
173.1/20.8	-0.0975992440704807	0.99997651208131	-0.256954509518571	0.765394503318132
173.1/9.4	0.163337940483558	0.99997651208131	-0.764585901605685	0.451013922649295
174.1/3.0	0.0178621305904889	0.99997651208131	0.596342334743907	0.56700549550958
174.1/4.9	-0.864978595073824	0.703829579319886	0.274168354984267	0.756919358652087
174.9/9.0	-0.566863372770333	0.99997651208131	0.0327908296777699	0.993496968711981
